"기준_년분기_코드","자치구_코드_명","상권_코드_명","서비스_업종_코드","업종명","총_매출_금액","주중_일평균_매출","주말_일평균_매출","주말_대비_주중_매출배수"
20211,종로구,대학로(혜화역),CS200019,PC방,214628785,28497916,36069602,1.27
20212,종로구,대학로(혜화역),CS200019,PC방,249709243,32205248,44341502,1.38
20213,종로구,대학로(혜화역),CS200019,PC방,227049516,28652020,41894709,1.46
20214,종로구,대학로(혜화역),CS200019,PC방,265617725,36785486,40845148,1.11
20221,종로구,대학로(혜화역),CS200019,PC방,183164874,23698399,32336440,1.36
20222,종로구,대학로(혜화역),CS200019,PC방,244335139,32433799,41083073,1.27
20223,종로구,대학로(혜화역),CS200019,PC방,307599585,39653834,54665209,1.38
20224,종로구,대학로(혜화역),CS200019,PC방,323724574,41606645,57845674,1.39
20231,종로구,대학로(혜화역),CS200019,PC방,281692867,37040855,48244296,1.30
20232,종로구,대학로(혜화역),CS200019,PC방,289811935,39092676,47174278,1.21
20233,종로구,대학로(혜화역),CS200019,PC방,325034120,41885254,57803925,1.38
20234,종로구,대학로(혜화역),CS200019,PC방,342164196,45039535,58483262,1.30
20241,종로구,대학로(혜화역),CS200019,PC방,308747643,41420261,50823170,1.23
20242,종로구,대학로(혜화역),CS200019,PC방,257442898,33920980,43919000,1.29
20243,종로구,대학로(혜화역),CS200019,PC방,262265009,33952338,46251659,1.36
20244,종로구,대학로(혜화역),CS200019,PC방,296343085,39739505,48822781,1.23
20251,종로구,대학로(혜화역),CS200019,PC방,295446594,39036357,50132404,1.28
20252,종로구,대학로(혜화역),CS200019,PC방,270167029,36643788,43474046,1.19
20253,종로구,대학로(혜화역),CS200019,PC방,526667956,65543619,99474930,1.52
20254,종로구,대학로(혜화역),CS200019,PC방,402842793,49725685,77107185,1.55
