"행정동_코드_명","유동인구_20대비율","상주인구_20대비율","유동인구_순위","상주인구_순위","전체_행정동_수","혜화동여부"
이문1동,46.62,38.23,1,3,397,0
신촌동,45.44,38.13,2,4,397,0
사근동,43.15,39.47,3,1,397,0
화양동,42.05,35.64,4,7,397,0
회기동,40.77,33.04,5,12,397,0
휘경1동,39.32,35.80,6,6,397,0
휘경2동,38.17,33.53,7,10,397,0
노량진1동,36.75,28.78,8,18,397,0
혜화동,36.44,27.23,9,26,397,1
신림동,35.57,33.80,10,9,397,0
안암동,35.53,34.34,11,8,397,0
청룡동,33.64,38.88,12,2,397,0
서교동,33.31,20.45,13,58,397,0
낙성대동,32.79,27.70,14,25,397,0
대학동,32.18,27.90,15,21,397,0
서강동,30.91,28.19,16,20,397,0
서원동,30.64,29.87,17,14,397,0
군자동,29.55,25.09,18,29,397,0
연남동,28.31,19.21,19,75,397,0
대흥동,28.01,21.64,20,48,397,0
서림동,27.50,24.60,21,30,397,0
동선동,27.07,27.72,22,24,397,0
공릉2동,27.05,37.14,23,5,397,0
서초2동,26.92,18.06,24,89,397,0
상도1동,26.68,29.70,25,15,397,0
중앙동,26.47,23.59,26,33,397,0
행당1동,26.40,25.64,27,28,397,0
신원동,26.20,22.50,28,42,397,0
정릉3동,26.14,21.59,29,49,397,0
행운동,25.95,25.73,30,27,397,0
장충동,25.87,22.82,31,39,397,0
신수동,25.23,21.57,32,50,397,0
연희동,24.82,23.05,33,36,397,0
이태원1동,24.54,13.23,34,275,397,0
흑석동,24.37,22.40,35,43,397,0
인헌동,23.37,22.78,36,40,397,0
가산동,23.34,31.35,37,13,397,0
논현1동,23.22,16.89,38,111,397,0
송정동,23.12,16.12,39,134,397,0
월곡2동,22.93,27.86,40,22,397,0
영등포동,22.91,28.93,41,17,397,0
구로3동,22.80,28.52,42,19,397,0
월계1동,22.63,20.01,43,64,397,0
성수2가3동,22.60,17.32,44,101,397,0
청파동,22.38,19.38,45,70,397,0
신사동,22.23,20.33,46,59,397,0
전농1동,22.01,17.50,47,99,397,0
공릉1동,21.97,23.04,48,37,397,0
제기동,21.92,18.41,49,83,397,0
남가좌2동,21.87,18.75,51,79,397,0
노량진2동,21.87,15.34,50,162,397,0
삼선동,21.83,20.28,52,60,397,0
합정동,21.65,17.00,53,106,397,0
조원동,21.56,22.56,54,41,397,0
압구정동,21.48,13.85,55,236,397,0
홍은2동,21.46,16.27,56,130,397,0
수유3동,21.26,17.54,57,96,397,0
역삼1동,21.18,18.18,59,87,397,0
성수1가2동,21.18,16.31,58,126,397,0
보라매동,20.85,18.54,60,81,397,0
필동,20.77,15.03,61,178,397,0
하계1동,20.67,21.70,62,47,397,0
사당1동,20.55,19.28,63,71,397,0
삼성동,20.49,10.88,64,380,397,0
방이2동,20.45,19.15,65,77,397,0
잠원동,20.45,16.71,66,114,397,0
상암동,20.38,24.04,67,31,397,0
당산2동,20.23,27.74,68,23,397,0
왕십리도선동,20.11,21.31,69,52,397,0
능동,20.02,17.52,70,98,397,0
용답동,19.86,13.65,71,252,397,0
광희동,19.82,19.91,72,66,397,0
명동,19.65,12.78,73,302,397,0
구의1동,19.15,20.14,74,61,397,0
이화동,19.14,17.75,75,92,397,0
망원1동,19.06,15.39,76,158,397,0
자양4동,18.98,14.83,77,186,397,0
반포1동,18.95,17.80,78,91,397,0
신대방1동,18.93,17.22,79,102,397,0
논현2동,18.91,15.59,80,150,397,0
왕십리2동,18.85,16.72,81,113,397,0
독산1동,18.83,21.25,83,53,397,0
한강로동,18.83,15.17,82,173,397,0
종로1·2·3·4가동,18.82,12.69,84,308,397,0
자양1동,18.78,16.71,85,115,397,0
상봉2동,18.75,18.15,86,88,397,0
종암동,18.72,18.65,87,80,397,0
