기준_년분기_코드,분기_idx,상권_코드,상권_코드_명,상권_구분_코드_명,자치구_코드_명,행정동_코드_명,당월_매출_금액,주중_매출_금액,주말_매출_금액,주말_주중_배율,연령대_10_매출_금액,연령대_20_매출_금액,연령대_30_매출_금액,연령대_40_매출_금액,연령대_50_매출_금액,연령대_60_이상_매출_금액,점포_수,폐업_률,점포당_매출,유효_점포,총_상주인구_수,남성_상주인구_수,여성_상주인구_수,남성_상주_비율,총_유동인구_수,유동_상주_비율,is_혜화_핵심상권,is_혜화동_전체,is_2024Q4_이후
20252,8102,3001493,동대문패션타운 관광특구,관광특구,중구,광희동,468000000,315509307,152490693,0.48331598978790186,15215305,250371762,120634229,55447477,22867145,3464082,3,0,156000000.0,True,2787,1223,1564,0.43882310728381774,3489708,1252.1377825618945,False,False,True
20253,8103,3001493,동대문패션타운 관광특구,관광특구,중구,광희동,468000000,301348485,166651515,0.5530192560948166,24222142,233289906,138526443,46515626,21045596,4400287,3,0,156000000.0,True,2787,1223,1564,0.43882310728381774,3247753,1165.3222102619304,False,False,True
20254,8104,3001493,동대문패션타운 관광특구,관광특구,중구,광희동,468000000,296313308,171686692,0.5794093190036541,23739005,258736619,107811577,50178104,23836018,3698677,3,0,156000000.0,True,2787,1223,1564,0.43882310728381774,3312549,1188.5715823466091,False,False,True
20211,8085,3001494,종로?청계 관광특구,관광특구,종로구,종로1·2·3·4가동,246513558,168398703,78114855,0.4638685073483019,8482428,165077784,48754600,11986806,11791975,419965,5,0,49302711.6,True,1795,1196,599,0.6662952646239554,7623304,4246.966016713092,False,False,False
20212,8086,3001494,종로?청계 관광특구,관광특구,종로구,종로1·2·3·4가동,345794362,239935742,105858620,0.4411957098080035,14146196,222107411,76739831,14415294,17399962,985668,5,0,69158872.4,True,1795,1196,599,0.6662952646239554,8359583,4657.14930362117,False,False,False
20213,8087,3001494,종로?청계 관광특구,관광특구,종로구,종로1·2·3·4가동,236544904,166103197,70441707,0.4240839927963578,13170488,140639215,65318893,7988309,8913495,514504,5,0,47308980.8,True,1795,1196,599,0.6662952646239554,7483675,4169.178272980502,False,False,False
20214,8088,3001494,종로?청계 관광특구,관광특구,종로구,종로1·2·3·4가동,257780732,179592020,78188712,0.4353685202716691,14428049,151150291,66235125,10814290,14040083,1112894,5,0,51556146.4,True,1795,1196,599,0.6662952646239554,8266622,4605.360445682451,False,False,False
20221,8089,3001494,종로?청계 관광특구,관광특구,종로구,종로1·2·3·4가동,233219255,159191537,74027718,0.46502294905287583,3315458,131935002,68490184,13529143,14916259,1033209,5,0,46643851.0,True,1795,1196,599,0.6662952646239554,7722538,4302.249582172702,False,False,False
20222,8090,3001494,종로?청계 관광특구,관광특구,종로구,종로1·2·3·4가동,334261516,222452166,111809350,0.5026219884053635,8805361,179017171,100188524,15599555,28648268,2002637,5,0,66852303.2,True,1795,1196,599,0.6662952646239554,8816195,4911.529247910864,False,False,False
20223,8091,3001494,종로?청계 관광특구,관광특구,종로구,종로1·2·3·4가동,400454679,263771079,136683600,0.5181902448069373,17726604,207260087,127060004,18783519,27023846,2600619,5,0,80090935.8,True,1795,1196,599,0.6662952646239554,8404013,4681.90139275766,False,False,False
